sid,name,email,phone
1,Maris,c@mail.kz,240
2,Pamela,b@gmail.com,482
3,Albert,c@hotmail.com,418
4,Jose,a@aol.com,973
5,Hellen,c@aol.com,860
6,Stephen,c@gmail.com,261
7,Megan,b@mail.kz,851
8,Charles,c@mail.kz,470
9,Lee,a@aol.com,829
10,Virginia,c@gmail.com,608
11,Tamara,c@hotmail.com,815
12,Lawanda,a@mail.kz,983
13,Edna,c@hotmail.com,595
14,Lyda,a@mail.com,412
15,Brenda,c@aol.com,619
16,Linda,b@hotmail.com,180
17,Jamie,a@gmail.com,463
18,Rodolfo,a@mail.com,644
19,Thelma,c@mail.kz,328
20,Sallie,c@mail.com,580
21,Clint,b@mail.com,907
22,Howard,c@gmail.com,401
23,Richard,a@hotmail.com,748
24,Christy,c@yahoo.com,866
25,Stacy,c@gmail.com,755
26,Ronda,b@mail.com,227
27,Dennis,b@yahoo.com,671
28,Alvin,c@yahoo.com,873
29,Edwin,c@aol.com,242
30,Myra,a@gmail.com,388
31,Justin,c@mail.kz,166
32,Carol,c@yahoo.com,505
33,Jorge,c@mail.com,510
34,Morris,c@mail.kz,416
35,Jeff,a@mail.com,318
36,Helena,c@hotmail.com,526
37,Linda,c@hotmail.com,883
38,Jeffrey,a@hotmail.com,627
39,Bernard,c@hotmail.com,487
40,Jane,c@gmail.com,246
41,Jennie,b@gmail.com,549
42,Joanne,a@aol.com,923
43,Clyde,a@mail.kz,131
44,Robert,a@hotmail.com,872
45,Jon,a@gmail.com,923
46,Cecilia,b@yahoo.com,950
47,James,c@mail.com,920
48,Martin,a@mail.com,507
49,Delois,a@hotmail.com,118
50,Linda,b@mail.com,141
51,Pam,c@mail.kz,475
52,Khalilah,c@mail.com,867
53,Irene,a@gmail.com,135
54,Mary,b@hotmail.com,634
55,Theresa,a@yahoo.com,462
56,Therese,a@gmail.com,671
57,Andrew,c@mail.kz,487
58,Walter,c@mail.com,773
59,Anthony,c@mail.com,593
60,Christopher,a@aol.com,552
61,Joey,a@mail.kz,849
62,Adam,a@mail.kz,133
63,Abraham,b@mail.kz,324
64,Ryan,a@aol.com,939
65,Jean,b@gmail.com,757
66,Mathew,b@mail.kz,708
67,Gloria,a@hotmail.com,804
68,Bob,a@gmail.com,322
69,Donald,a@mail.kz,429
70,Enid,b@gmail.com,385
71,Demetra,c@gmail.com,715
72,Betty,b@gmail.com,563
73,Gerald,c@mail.com,356
74,Rosamond,b@mail.kz,319
75,Michael,a@gmail.com,412
76,Gladys,a@mail.com,749
77,Stephanie,b@mail.kz,279
78,Alice,a@mail.com,522
79,Roxanne,b@hotmail.com,712
80,Virginia,a@mail.com,792
81,Elroy,c@mail.com,835
82,Thomas,a@gmail.com,584
83,Albert,a@mail.kz,532
84,Blanca,c@aol.com,293
85,Herbert,a@hotmail.com,812
86,Leanna,c@mail.kz,271
87,Paul,b@mail.kz,282
88,Eric,b@aol.com,749
89,Aileen,a@gmail.com,777
90,Brandi,c@yahoo.com,657
91,Michelle,c@mail.com,812
92,Earl,b@aol.com,246
93,Jennifer,c@gmail.com,329
94,Michael,b@gmail.com,585
95,Tammy,c@mail.kz,402
96,Lois,b@aol.com,681
97,Chad,b@aol.com,451
98,Stephen,a@mail.kz,758
99,Maureen,c@gmail.com,938
100,Ronald,b@aol.com,544
